Theme,Song Name
breakup,Yedho
breakup,Waiting For You
breakup,Vellipoke
breakup,Po Pove Yekantham
breakup,Oke Oka Jeevitham
breakup,Karige Loga
breakup,Badhulu Thochani
breakup,Attu Nuvve
breakup,Nee Selvadigi
breakup,Nammaka Thappani
breakup,Po Ve Po - The Pain of Love
breakup,Choododde Nannu
breakup,Pranamlo Pranamga
breakup,Devatha
breakup,Pilla O Pilla
breakup,Nee Choopule
breakup,Nee Prashnalu
breakup,Oorikey Ala
breakup,Athey Nanne
breakup,Vinave Vinave
breakup,Neeti Mullai (Bit)
breakup,Kannula Baasalu
breakup,Evaro Nenevaro
breakup,Evare Nuvvu
breakup,Ninnu Kori Tittle Song
breakup,Kaadhana Preme (Version 1)
breakup,Amma Amma
breakup,Pranam Poye
breakup,Gelupu Thalupule
breakup,Emaindhi Eevela
breakup,Povodhe Prema
breakup,Undiporaadhey - Sad Version
breakup,Chirunavve Visirave
breakup,Nee Yadalo Naaku
breakup,Usure Poyene
breakup,Thalachi Thalachi(Male)
love,Appudo Ippudo
love,My Heart is Beating
love,Uppenantha
love,Hoyna
love,Manasa
love,Nijanga Nenena
love,Niluvaddham
love,Manmadhuda
love,Chinnaga Chinnaga
love,Bommanu Geesthey
love,Gundu Sudhi
love,Neelo Jarige
love,Emantaro
love,Evare Nuvvu
love,Radhe Govinda
love,Unnamata Cheppanivu
love,Gundello Emundho
love,Cheliya
love,Gore Gore
love,Preminche Premava
love,Vastha Nee Venuka
love,Naaloney Pongaynu
love,Bangala Kathamulo
love,Pachchadanamey
love,Mellaga
love,Emaindhi Eevela
love,Abbo Neeyamma
love,Naa Manusukemayindi
love,Netho Cheppana
love,Nunugu Misalodu
love,Nanne Nanne
love,Manmadhude
love,Paddanandi
love,Hrudayam Ekkadunnadi
love,Nuvvante Naakishtamani
love,Hima Seemallo
love,Panchadaara
love,Kailove Chedugudu
love,Buggey Bangarama
love,Thanemando
love,Arare Arare
love,Prati Dinam
love,Malli Kuyave
love,Love U Raa
love,Nuvvena
love,Jabilammavo
love,Ale Ale
love,Andala Chukkala
love,Mona Mona
love,Ekkada Ekkada
love,Hay Rey Hai
love,Swapnavenuvedo
love,Oka Maaru
love,Neevalle Nevalle
love,Nuvvu Nuvvu
love,Feel My Love
love,Naaku Neeku
love,Endhuko Prayam
love,Cheppave Prema
love,Nee Navvula
love,Chennai Chandrama
love,Tu Tu Tu
love,Madhurame Madhurame
love,Naa Chupe Ninu
love,Alloneredu Kalla
love,Ye Chilipi
love,Ee Chota Nuvvunna
love,Nindu Noorella Version 2
love,Telusuna
love,Maayera
love,Ee Roje
love,Priyathama
love,O Prema
love,Priyathama
love,Manasuna Unnadi-Female
happy,Ramuloo Ramulaa - Duet
happy,Inkem Inkem Inkem Kaavaale
happy,Tillu Anna DJ Pedithe
happy,Gundellonaa
happy,Hoyna Hoyna
happy,Chamkeela Angeelesi
happy,Seeti Maar
happy,Vachinde
happy,Niluvaddham
happy,Pillaa Raa
happy,"Psycho Saiyaan (From ""Saaho"")"
happy,"Chitti (From ""Jathi Ratnalu"")"
happy,Manasa
happy,Oh Priya Priya
happy,Seethakaalam
happy,Endhuko Emo
happy,Evare Nuvvu
happy,"Gira Gira Gira (From ""Dear Comrade"")"
happy,Gaallo Thelinattunde
happy,Gaali Vaaluga
happy,Unnatundi Gundey
happy,Neethoney Dance
happy,Ay Pilla - Telugu
